ville,year,tmax_moy,tmin_moy,nuits_trop,jours_35,tx_abs,tn_max
Rennes,1987,20.77,12.72,0,0,29.5,19.1
Rennes,1988,21.18,12.84,0,0,28.3,18.1
Rennes,1989,23.63,13.93,0,0,31.8,18.8
Rennes,1990,22.58,13.59,4,0,34.7,21.6
Rennes,1991,20.84,12.76,0,0,28.1,17.7
Rennes,1992,22.04,13.28,0,0,29.6,19.4
Rennes,1993,21.3,12.66,0,0,27.1,18.1
Rennes,1994,23.04,13.78,0,0,30.6,19.0
Rennes,1995,23.69,14.36,3,0,32.2,22.0
Rennes,1996,22.92,12.85,0,0,31.9,18.3
Rennes,1997,22.28,13.54,0,0,31.3,19.7
Rennes,1998,21.4,12.52,0,0,33.1,18.1
Rennes,1999,22.17,13.65,0,0,30.6,19.4
Rennes,2000,21.54,13.03,0,0,29.2,18.5
Rennes,2001,22.08,12.96,0,0,31.3,19.1
Rennes,2002,20.88,12.82,0,0,28.3,16.7
Rennes,2003,25.22,15.39,4,3,36.3,24.0
Rennes,2004,23.0,13.87,2,0,31.8,21.2
Rennes,2005,23.25,14.03,2,0,31.8,21.1
Rennes,2006,24.4,15.03,3,0,33.9,21.7
Rennes,2007,20.56,12.98,0,0,28.4,18.0
Rennes,2008,21.2,12.95,0,0,28.2,18.1
Rennes,2009,21.67,13.15,0,0,28.4,18.8
Rennes,2010,22.75,13.55,0,0,30.4,18.0
Rennes,2011,21.2,12.79,0,0,33.1,17.8
Rennes,2012,21.14,13.11,0,0,31.9,18.3
Rennes,2013,23.07,14.0,2,0,31.4,20.9
Rennes,2014,22.47,13.76,0,0,31.4,18.6
Rennes,2015,23.18,13.54,1,0,33.2,21.0
Rennes,2016,22.41,13.76,1,0,34.5,21.1
Rennes,2017,23.38,14.1,2,0,33.7,21.2
Rennes,2018,24.57,14.81,1,0,32.6,20.5
Rennes,2019,23.82,13.97,3,1,36.4,23.2
Rennes,2020,23.21,13.47,2,1,36.1,21.2
Rennes,2021,22.06,13.52,0,0,30.4,19.5
Rennes,2022,26.01,14.61,3,2,39.7,21.2
Rennes,2023,23.8,14.36,0,0,30.4,19.2
Rennes,2024,22.29,13.06,0,0,32.3,19.4
Rennes,2025,25.93,15.14,4,2,36.3,23.1
Rennes,2026,28.17,16.73,15,10,40.2,26.6
Strasbourg,1950,23.86,15.1,0,0,31.4,19.8
Strasbourg,1951,21.67,13.54,0,0,29.8,19.7
Strasbourg,1952,25.56,15.32,8,4,35.1,23.3
Strasbourg,1953,21.6,13.64,0,0,29.9,19.2
Strasbourg,1954,20.31,12.52,0,0,29.0,18.5
Strasbourg,1955,21.21,13.1,0,0,30.2,19.6
Strasbourg,1956,19.96,12.21,0,0,28.8,17.9
Strasbourg,1957,22.66,14.22,3,0,33.4,21.8
Strasbourg,1958,22.15,13.32,0,0,31.5,18.5
Strasbourg,1959,24.15,14.72,1,0,32.8,21.6
Strasbourg,1960,21.24,12.83,0,0,30.1,18.2
Strasbourg,1961,21.34,12.8,0,0,30.4,18.6
Strasbourg,1962,22.32,12.6,0,0,32.4,19.1
Strasbourg,1963,22.69,13.75,0,0,31.5,19.7
Strasbourg,1964,24.49,14.55,4,0,34.8,21.4
Strasbourg,1965,20.98,12.88,0,0,29.3,18.6
Strasbourg,1966,21.33,13.31,0,0,31.9,18.7
Strasbourg,1967,22.83,13.89,1,0,30.5,20.3
Strasbourg,1968,20.74,12.74,0,0,30.7,18.5
Strasbourg,1969,21.85,13.61,0,0,30.0,19.3
Strasbourg,1970,21.97,13.81,0,0,29.9,18.7
Strasbourg,1971,22.98,13.66,0,0,31.4,19.3
Strasbourg,1972,21.16,13.21,0,0,30.8,18.8
Strasbourg,1973,22.58,13.84,0,0,30.2,18.2
Strasbourg,1974,21.37,12.79,0,0,33.3,19.6
Strasbourg,1975,22.58,13.67,0,0,30.6,18.9
Strasbourg,1976,25.28,14.9,4,0,33.1,21.1
Strasbourg,1977,21.64,13.25,0,0,31.1,17.4
Strasbourg,1978,20.17,12.23,0,0,29.8,18.7
Strasbourg,1979,21.69,13.52,0,0,28.7,17.8
Strasbourg,1980,19.98,12.7,0,0,30.2,18.8
Strasbourg,1981,21.35,13.57,0,0,29.0,19.9
Strasbourg,1982,23.47,14.82,0,0,31.0,19.0
Strasbourg,1983,25.05,15.19,4,4,37.4,22.3
Strasbourg,1984,21.08,12.3,0,0,34.0,18.7
Strasbourg,1985,21.72,13.1,0,0,32.2,19.3
Strasbourg,1986,22.8,13.83,0,0,33.5,18.8
Strasbourg,1987,20.53,12.99,0,0,29.1,19.8
Strasbourg,1988,22.81,13.67,0,0,31.6,19.1
Strasbourg,1989,23.24,14.01,1,0,32.7,20.1
Strasbourg,1990,23.26,13.88,2,0,33.6,21.7
Strasbourg,1991,23.89,14.56,3,0,33.7,20.5
Strasbourg,1992,23.85,14.79,4,0,34.2,22.3
Strasbourg,1993,22.41,13.6,0,0,30.6,18.2
Strasbourg,1994,24.79,15.59,9,0,33.7,22.1
Strasbourg,1995,23.24,14.26,3,0,32.5,20.8
Strasbourg,1996,22.07,13.13,0,0,30.1,18.1
Strasbourg,1997,22.26,13.81,0,0,29.4,18.6
Strasbourg,1998,22.87,14.03,0,0,34.1,19.8
Strasbourg,1999,22.51,14.15,0,0,30.6,19.3
Strasbourg,2000,22.52,13.39,0,0,31.5,18.6
Strasbourg,2001,23.14,14.04,1,0,34.1,20.0
Strasbourg,2002,23.04,14.14,1,0,32.8,20.0
Strasbourg,2003,27.93,17.39,15,7,36.1,22.9
Strasbourg,2004,23.67,14.49,1,0,31.5,20.0
Strasbourg,2005,22.98,13.9,2,0,33.0,20.0
Strasbourg,2006,24.99,15.33,11,0,34.0,23.2
Strasbourg,2007,22.42,14.26,0,0,31.6,19.8
Strasbourg,2008,22.81,14.36,0,0,30.8,19.2
Strasbourg,2009,23.19,14.32,0,0,30.0,18.9
Strasbourg,2010,23.62,15.0,4,0,34.7,21.6
Strasbourg,2011,22.28,13.49,0,0,32.5,18.7
Strasbourg,2012,23.07,14.57,2,0,33.1,20.6
Strasbourg,2013,24.21,14.79,3,0,34.6,20.8
Strasbourg,2014,23.9,15.01,2,0,34.5,20.5
Strasbourg,2015,26.25,16.33,16,5,37.3,24.0
Strasbourg,2016,23.03,14.75,1,0,31.8,21.2
Strasbourg,2017,25.53,15.94,7,0,34.9,21.7
Strasbourg,2018,27.26,16.84,8,0,34.2,23.5
Strasbourg,2019,26.73,16.0,8,4,37.7,23.8
Strasbourg,2020,25.75,15.48,6,1,35.0,22.4
Strasbourg,2021,24.5,15.32,3,0,34.0,21.8
Strasbourg,2022,28.0,15.94,3,3,36.4,21.6
Strasbourg,2023,26.31,15.83,3,1,35.5,21.8
Strasbourg,2024,24.61,15.22,1,0,32.4,20.4
Strasbourg,2025,26.15,15.98,6,1,36.9,22.6
Strasbourg,2026,29.52,18.11,26,14,38.8,25.4
Toulouse,1950,27.88,16.98,8,1,35.9,21.9
Toulouse,1951,23.56,14.57,0,0,31.1,19.8
Toulouse,1952,28.13,17.22,9,3,36.1,22.3
Toulouse,1953,23.87,14.94,5,0,32.6,20.8
Toulouse,1954,23.31,13.87,0,0,31.3,19.0
Toulouse,1955,26.36,15.98,2,1,35.2,21.0
Toulouse,1956,23.14,13.94,0,0,32.1,19.7
Toulouse,1957,24.37,14.98,1,0,32.5,20.8
Toulouse,1958,24.28,14.75,2,0,34.8,22.5
Toulouse,1959,25.66,15.32,1,0,31.9,20.5
Toulouse,1960,24.69,15.33,0,0,32.2,19.2
Toulouse,1961,25.14,15.58,2,0,33.0,21.1
Toulouse,1962,25.87,14.92,4,1,37.2,21.1
Toulouse,1963,24.34,15.01,2,0,31.4,20.6
Toulouse,1964,26.46,15.95,6,0,34.8,21.8
Toulouse,1965,24.15,14.52,1,0,31.2,21.5
Toulouse,1966,23.82,14.73,0,0,31.9,19.9
Toulouse,1967,25.32,15.01,4,0,34.4,21.1
Toulouse,1968,23.55,14.54,3,0,34.9,21.9
Toulouse,1969,24.6,15.34,7,0,32.6,20.9
Toulouse,1970,24.82,15.84,3,0,31.9,20.5
Toulouse,1971,24.53,15.44,3,0,33.5,21.2
Toulouse,1972,23.07,14.23,2,0,32.3,20.3
Toulouse,1973,24.84,15.81,8,0,33.6,21.9
Toulouse,1974,24.37,14.9,3,0,33.1,20.3
Toulouse,1975,25.1,15.33,8,0,33.9,22.2
Toulouse,1976,27.21,15.96,2,0,33.8,20.6
Toulouse,1977,22.2,13.8,1,0,29.8,20.3
Toulouse,1978,23.02,13.91,2,0,32.2,20.6
Toulouse,1979,24.28,15.12,1,0,31.4,21.7
Toulouse,1980,22.59,13.7,0,0,31.7,19.6
Toulouse,1981,23.7,14.75,2,0,31.1,20.3
Toulouse,1982,25.82,16.64,8,1,36.4,22.4
Toulouse,1983,26.64,16.59,12,2,37.1,22.3
Toulouse,1984,24.84,14.77,0,1,35.5,19.9
Toulouse,1985,24.71,15.29,4,1,35.3,20.7
Toulouse,1986,25.46,15.52,2,1,35.5,21.9
Toulouse,1987,24.51,15.3,4,4,38.0,22.2
Toulouse,1988,24.92,15.22,3,0,33.2,21.5
Toulouse,1989,27.42,16.79,8,3,36.8,22.5
Toulouse,1990,26.38,16.2,13,3,35.8,22.8
Toulouse,1991,25.07,15.58,4,0,34.6,20.3
Toulouse,1992,23.82,15.24,7,0,32.6,21.6
Toulouse,1993,25.22,15.23,0,0,34.1,19.8
Toulouse,1994,26.69,16.8,12,0,34.7,22.6
Toulouse,1995,26.44,16.12,9,1,35.4,21.1
Toulouse,1996,25.5,15.72,3,0,32.1,20.7
Toulouse,1997,25.25,15.93,6,0,33.5,20.5
Toulouse,1998,26.25,15.77,6,3,36.3,20.5
Toulouse,1999,25.12,15.83,4,0,33.6,20.8
Toulouse,2000,24.96,15.39,0,0,31.9,19.6
Toulouse,2001,25.22,15.2,5,1,35.3,21.2
Toulouse,2002,24.63,15.36,2,0,31.6,20.2
Toulouse,2003,30.96,19.35,31,17,39.2,24.7
Toulouse,2004,27.04,16.8,10,1,37.1,21.9
Toulouse,2005,27.78,16.87,13,1,35.3,22.7
Toulouse,2006,28.35,17.57,16,4,36.5,23.2
Toulouse,2007,24.46,15.29,0,0,34.1,19.4
Toulouse,2008,25.11,15.23,1,0,34.7,20.6
Toulouse,2009,27.58,16.69,8,2,35.2,20.7
Toulouse,2010,26.31,16.3,7,1,36.6,22.4
Toulouse,2011,25.05,15.33,2,0,34.6,20.3
Toulouse,2012,28.05,16.53,9,7,37.0,22.4
Toulouse,2013,26.63,16.16,12,0,34.8,22.2
Toulouse,2014,25.25,16.04,2,0,32.3,21.2
Toulouse,2015,28.18,17.39,15,4,36.0,22.6
Toulouse,2016,26.64,16.47,7,0,34.4,20.8
Toulouse,2017,27.18,17.23,14,2,36.8,22.0
Toulouse,2018,27.88,17.07,9,2,35.9,23.0
Toulouse,2019,28.33,17.11,18,9,39.5,24.5
Toulouse,2020,27.78,16.77,13,8,37.4,23.6
Toulouse,2021,26.09,16.24,10,0,34.8,22.1
Toulouse,2022,31.16,18.34,24,23,39.7,24.9
Toulouse,2023,27.86,17.1,13,1,36.6,22.5
Toulouse,2024,26.63,16.63,11,3,35.3,23.1
Toulouse,2025,30.57,18.63,28,21,41.2,24.9
Toulouse,2026,32.27,20.14,47,27,39.9,25.3
